term,n_words,freq,doc_freq,PMI,LRent,in_reference,status
承受 能力 相,3,3,3,13.597,5.393,False,new
方队 总共 人,3,3,3,13.597,7.874,False,new
鲜明 导向 持续,3,3,3,13.596,7.611,False,new
犯罪 被 判刑,3,3,3,13.596,5.243,False,new
而且 还要 面对,3,3,3,13.596,5.338,False,new
是 那些 裁断,3,3,3,13.596,5.241,False,new
红利 风格 占,3,3,3,13.596,6.947,False,new
众议院 以 票,3,8,6,13.595,5.806,False,new
年度 荣耀 青年,3,6,4,13.595,8.7,False,new
蓝图 秉持 上海,3,4,4,13.595,7.28,False,new
不 搞 大水,3,3,3,13.595,6.529,False,new
标志性 事件 改革,3,3,3,13.595,6.206,False,new
慢慢 适应 同时,3,3,3,13.595,5.023,False,new
仓 数量 较,3,3,3,13.595,5.057,False,new
名 长期 旷工,3,8,4,13.594,5.538,False,new
处在 由 治,3,5,5,13.594,3.974,False,new
片 热土 上,3,3,3,13.594,6.638,False,new
形式 多样 内容,3,3,3,13.594,7.563,False,new
工作 总 基调,3,25,13,13.593,6.463,False,new
面前 积极 应对,3,4,4,13.593,7.101,False,new
2013年 9月 7日,3,4,4,13.593,4.747,False,new
内 工匠 精神,3,4,4,13.593,7.74,False,new
法院 作出 判决,3,4,4,13.593,6.123,False,new
初步 审查 2025年,3,4,4,13.593,6.675,False,new
忻州 师范学院 不,3,4,4,13.593,6.959,False,new
芯穹 团队 已,3,3,3,13.593,5.007,False,new
直接 或 间接,3,7,6,13.592,7.321,False,new
北京 杨某 涉嫌,3,4,4,13.592,6.409,False,new
着 段 族裔,3,3,3,13.592,7.469,False,new
税收 优惠 政策,3,4,3,13.591,7.939,False,new
主席 亲临 香港,3,4,2,13.591,7.476,False,new
政策 工具箱 更加,3,3,3,13.591,9.691,False,new
引擎 下棋 他,3,3,3,13.591,8.112,False,new
严格 限制 移民,3,3,3,13.591,7.045,False,new
模式 激活 乡村,3,3,3,13.59,7.23,False,new
空中 丝绸之路 新,3,4,4,13.589,6.708,False,new
哪 些 呢,3,4,4,13.589,3.856,False,new
这个 战略 基点,3,4,3,13.589,5.467,False,new
立案 案号 为,3,3,3,13.589,9.319,False,new
南北 战争 中,3,6,3,13.588,6.59,False,new
像 FRUS 这样,3,4,2,13.588,5.721,False,new
连 输 局,3,3,3,13.588,8.181,False,new
便 成为 河,3,3,3,13.588,6.145,False,new
过往 历史 业绩,3,3,3,13.588,6.429,False,new
小麦 和 玉米,3,8,8,13.587,4.705,False,new
积极 回应 网民,3,3,3,13.587,7.3,False,new
还有 年轻人 愿意,3,3,3,13.587,6.723,False,new
给 予 一次性,3,4,3,13.586,7.384,False,new
为 非医保 药品,3,4,4,13.586,9.375,False,new
6月 12日 居然,3,3,3,13.586,5.255,False,new
区 县 全,3,3,3,13.586,6.667,False,new
理想国 就 像,3,3,3,13.586,5.214,False,new
自动 驾驶 汽车,3,4,3,13.585,8.62,False,new
情况 各异 部分,3,4,4,13.585,8.906,False,new
共 赢 旗帜,3,4,4,13.585,6.068,False,new
扩大 内需 战略,3,4,3,13.585,8.418,False,new
次 外出 调研,3,3,3,13.585,6.097,False,new
副 主任 1988年,3,3,3,13.585,6.66,False,new
他 决定 偕,3,3,3,13.585,3.834,False,new
商人 也 很快,3,3,3,13.585,5.098,False,new
脑机 接口 治疗,3,3,3,13.585,6.964,False,new
上限 从 1万,3,3,3,13.585,5.043,False,new
特别 行政区 行政,3,13,8,13.584,7.35,False,new
波 新 冠肺炎,3,5,5,13.584,3.393,False,new
我国 汽车 产销量,3,5,3,13.584,5.478,False,new
党纪 学习 教育,3,4,4,13.583,5.905,False,new
赔偿金 后 顺利,3,4,4,13.583,5.353,False,new
小镇 和 太湖,3,3,3,13.583,3.062,False,new
建立 然而 当今,3,3,3,13.583,5.43,False,new
政策 密集 出台,3,5,5,13.582,8.447,False,new
无 障碍 设施,3,4,4,13.582,7.839,False,new
建设 舒适 便利,3,3,3,13.582,7.615,False,new
初创 项目 吸引,3,3,3,13.582,6.181,False,new
我 才 确信,3,3,3,13.582,3.909,False,new
习近平 总书记 叮嘱,3,3,3,13.581,4.295,False,new
习近平 总书记 语重心长,3,3,3,13.581,3.36,False,new
第一 增量 依赖,3,3,3,13.581,7.896,False,new
会见 采访 届,3,6,6,13.58,7.349,False,new
药 主要 用于,3,4,4,13.58,6.863,False,new
最高 规格 城市,3,3,3,13.58,8.763,False,new
棋 之后 呢,3,3,3,13.58,2.996,False,new
正式 提出 18亿,3,3,3,13.58,5.2,False,new
开 具有 里程碑,3,3,3,13.58,5.161,False,new
转变 为 比伯斯坦,3,3,3,13.58,3.909,False,new
后 定居 武汉,3,3,3,13.58,9.294,False,new
跑 赢 业绩,3,6,3,13.579,7.758,False,new
习惯 过 紧,3,3,2,13.579,6.041,False,new
主 基调 也,3,3,3,13.579,7.622,False,new
本 城市 日历,3,3,3,13.579,5.834,False,new
国会 开始 审议,3,3,3,13.579,5.734,False,new
来 源 Wind,3,37,8,13.578,6.234,False,new
碳达峰 碳 中,3,10,3,13.578,7.447,False,new
进行 占用 道路,3,4,2,13.578,8.809,False,new
水利 基础 设施,3,7,5,13.577,6.215,False,new
多边 贸易 体制,3,7,5,13.577,5.17,False,new
企业 量身 打造,3,4,4,13.577,9.584,False,new
澎湃 荣耀 手机,3,3,3,13.577,6.635,False,new
塔吉克斯坦国 家 最高,3,4,4,13.576,3.299,False,new
更 趋 复杂,3,4,4,13.576,7.786,False,new
质量 验收 制度,3,3,3,13.576,5.945,False,new
瑞华 健康 保险,3,3,3,13.576,5.467,False,new
主动 量化 策略,3,3,3,13.576,6.863,False,new
受 行政 刑事,3,5,5,13.575,6.024,False,new
表现 投资人 应,3,3,3,13.575,7.962,False,new
江 而 望,3,3,3,13.574,4.628,False,new
产业 基础 再造,3,3,2,13.574,5.434,False,new
汽车 产销 分别,3,8,5,13.573,7.824,False,new
全程 运输 时间,3,4,4,13.573,6.822,False,new
学会 副 秘书长,3,4,2,13.573,6.791,False,new
党委 委员 部长,3,3,3,13.573,7.509,False,new
提升 行动 种业,3,3,3,13.573,5.982,False,new
下棋 容易 他,3,3,3,13.573,6.87,False,new
18日 启动 仪式,3,3,3,13.573,5.042,False,new
根基 保障 粮食,3,3,3,13.572,5.389,False,new
精细化 分工 中,3,3,3,13.572,7.365,False,new
讲 起 过往,3,3,3,13.572,6.348,False,new
只有 时刻 保持,3,4,4,13.571,6.922,False,new
每 份 荣誉,3,3,3,13.571,6.611,False,new
批评 但 北美,3,3,3,13.571,6.372,False,new
移民 立场 出现,3,3,3,13.571,7.622,False,new
意见 以下 简称,3,3,3,13.57,5.664,False,new
以下 简称 意见,3,3,3,13.57,4.937,False,new
一国两制 具有 强大,3,3,3,13.57,2.926,False,new
利用 重点县 建设,3,3,3,13.57,8.836,False,new
旨在 引导 广大,3,3,3,13.57,5.232,False,new
马克思主义 执政党 要,3,9,7,13.569,9.087,False,new
韩国 自然 遗产,3,4,4,13.569,6.34,False,new
正是 脑机 接口,3,3,3,13.569,6.343,False,new
原 则 不再,3,3,3,13.569,5.548,False,new
回 原告 单位,3,4,4,13.568,8.782,False,new
中 罔顾 事实,3,4,4,13.568,9.114,False,new
部署 多 实地调研,3,3,3,13.568,4.702,False,new
图 广发 稳健,3,3,3,13.568,5.387,False,new
研究院 副 院长,3,11,10,13.567,7.225,False,new
10月 任 重庆市,3,4,4,13.567,6.557,False,new
产业体系 生产 体系,3,3,2,13.567,4.46,False,new
要求 非农业 建设,3,3,3,13.567,8.958,False,new
对话 平台 值得一提,3,3,3,13.567,4.059,False,new
退出 世贸 组织,3,3,3,13.567,8.553,False,new
指数 分析 杨冬,3,3,3,13.567,5.457,False,new
双边 关系 树立,3,4,4,13.566,6.084,False,new
地化 创新 历史,3,3,3,13.566,4.564,False,new
激情 都 补,3,3,3,13.566,3.146,False,new
颁奖 典礼 上,3,3,3,13.566,8.541,False,new
用于 生产 盐酸罂粟,3,8,4,13.565,3.529,False,new
美国 联邦 储备,3,6,3,13.565,7.442,False,new
人 畜 共,3,4,4,13.565,9.263,False,new
经理 董事长 2019年,3,3,3,13.565,5.697,False,new
应当 折 价,3,3,3,13.565,7.047,False,new
为体 主动 为,3,3,3,13.565,6.46,False,new
平 价 上网,3,10,2,13.564,3.878,False,new
村 党组织 书记,3,6,5,13.564,6.882,False,new
应对 不 畏缩,3,3,3,13.564,3.826,False,new
创新 推行 留,3,3,3,13.564,7.301,False,new
贸易 繁荣 得益,3,3,3,13.564,3.992,False,new
较 去年 同期,3,10,8,13.563,7.92,False,new
党群 服务 中心,3,5,3,13.563,5.824,False,new
必然 选择 保险,3,4,4,13.563,6.197,False,new
我们 当地 苗族,3,4,4,13.562,4.334,False,new
全球 疫苗 免疫,3,3,2,13.562,6.984,False,new
似乎 没 理解,3,3,3,13.562,6.55,False,new
收集 利用 综合,3,3,3,13.562,7.502,False,new
推动 农民 种粮,3,3,3,13.562,5.242,False,new
预计 实现 归母,3,9,3,13.561,4.082,False,new
优先 方向 2013年,3,4,4,13.561,6.673,False,new
像 保护 眼睛,3,4,4,13.561,5.898,False,new
法国 首都 巴黎,3,3,3,13.561,7.481,False,new
科学 更加 可感,3,3,3,13.561,5.409,False,new
死局 面对 这,3,3,3,13.561,4.43,False,new
干劲 带 起,3,4,2,13.56,5.214,False,new
单位 供应 用于,3,4,4,13.56,8.322,False,new
有 委屈 教师,3,4,4,13.56,9.336,False,new
我们 一共 批准,3,4,2,13.56,6.56,False,new
2024年 上半年 开源,3,4,2,13.56,3.909,False,new
出让金 并 赔偿,3,3,3,13.56,4.012,False,new
乌干达 这个 地区,3,4,4,13.559,5.786,False,new
新平县 接 下,3,4,4,13.559,4.759,False,new
唐晓斌 共同 管理,3,3,3,13.559,5.179,False,new
法 外用权 是,3,3,3,13.559,9.561,False,new
大 福祉 中塔,3,4,4,13.558,6.576,False,new
艺术 成就 托卡,3,4,4,13.558,4.353,False,new
独 家 专访,3,4,4,13.558,3.609,False,new
质地 并 提高,3,4,4,13.558,5.425,False,new
城市 养殖户 数量,3,4,4,13.558,8.874,False,new
国际 航空 枢纽,3,3,3,13.558,7.737,False,new
推进 对口 支援,3,3,3,13.558,6.629,False,new
指数 覆盖 短,3,3,3,13.558,5.705,False,new
教育 人才 组团式,3,6,2,13.557,5.06,False,new
禽流感 后 人们,3,4,4,13.557,6.033,False,new
仅 从事 盐酸罂粟碱,3,4,4,13.557,2.92,False,new
思想 统一 意志,3,3,3,13.557,5.26,False,new
棒 确保 全面,3,3,3,13.557,5.448,False,new
用 得 顺手,3,3,3,13.557,5.312,False,new
下棋 或 像,3,3,3,13.557,6.188,False,new
2024年 末 共有,3,3,3,13.557,7.006,False,new
进行 虚假 宣传,3,5,3,13.556,9.205,False,new
外交部 副 部长,3,4,4,13.556,6.545,False,new
公司 首席 执行官,3,3,3,13.556,8.155,False,new
中华人民共和国 基本 农田,3,3,3,13.556,5.56,False,new
配置 工具 经过,3,3,3,13.556,8.009,False,new
海外 公募 基金,3,3,3,13.556,8.249,False,new
总 基调 坚持,3,10,4,13.555,9.072,False,new
排行榜 昆明 发布,3,4,2,13.555,4.616,False,new
咸阳 市委 副,3,4,2,13.555,4.334,False,new
家 知识 产权局,3,4,2,13.554,5.189,False,new
市 县 级,3,4,4,13.554,6.75,False,new
提升 全员 法律,3,4,4,13.554,8.524,False,new
提起 苹果 公司,3,3,3,13.554,8.385,False,new
当局 发生 实际,3,3,3,13.554,5.252,False,new
训练 只要 还有,3,3,3,13.554,8.403,False,new
只要 还有 年轻人,3,3,3,13.554,5.609,False,new
希望 保留 基于,3,3,3,13.554,7.792,False,new
关联 相关 商品,3,4,4,13.552,7.013,False,new
监察部 驻 国,3,3,3,13.552,2.077,False,new
党员 依据 中华人民共和国,3,3,3,13.552,6.607,False,new
用地 5万 余,3,3,3,13.552,4.495,False,new
2006年 7月 1日,3,4,4,13.551,5.055,False,new
山 乌鸡 很,3,4,4,13.55,6.065,False,new
像 引擎 丁立人,3,3,3,13.55,7.297,False,new
召之 即 来,3,3,3,13.55,4.515,False,new
呼吁 各国 团结,3,4,3,13.549,6.096,False,new
路径 世茂 集团,3,3,3,13.549,8.099,False,new
2024年 红利 风格,3,3,3,13.549,6.431,False,new
深刻 印象 你,3,6,6,13.548,8.043,False,new
也 愿意 退回,3,4,4,13.548,6.56,False,new
大 部分 成份券,3,3,3,13.548,4.603,False,new
捕捉 无 风险,3,3,3,13.548,6.779,False,new
融合 发展 示范园,3,3,2,13.548,5.276,False,new
政府 奖学金 项目,3,4,4,13.547,9.228,False,new
里 野生 香蕉,3,4,4,13.547,7.908,False,new
信息化 工作 座谈会,3,4,2,13.547,4.555,False,new
自动 驾驶 领域,3,4,4,13.546,7.719,False,new
显示 报告期 内,3,4,4,13.546,8.103,False,new
收回 包括 本,3,3,3,13.546,6.283,False,new
称 深圳 世茂,3,3,3,13.546,6.076,False,new
这 封 信,3,3,3,13.546,6.478,False,new
有 父亲 牵,3,3,3,13.546,6.658,False,new
用 地 筛选值,3,10,2,13.545,4.619,False,new
而且 孵化 期间,3,4,4,13.545,3.339,False,new
提质 增效 更,3,3,3,13.545,7.012,False,new
耕地 保护 党政,3,3,3,13.545,5.182,False,new
各 横渡 方队,3,3,3,13.545,7.661,False,new
杨冬团队 当前 管理,3,3,3,13.545,5.442,False,new
前无古人 的 开创性,3,6,6,13.544,2.545,False,new
2015年 1月 邹磊,3,4,4,13.544,4.092,False,new
精悍 的 算力,3,3,3,13.544,2.949,False,new
试图 通过 变更,3,3,3,13.544,5.551,False,new
军事 战略 方针,3,3,3,13.544,5.423,False,new
之一 拥有 众多,3,4,4,13.543,8.636,False,new
号 探测器 成功,3,3,3,13.543,7.756,False,new
中国 驻 摩尔多瓦,3,9,2,13.542,6.016,False,new
届 武昌 方队,3,3,3,13.542,7.048,False,new
广泛 交流 互鉴,3,4,4,13.541,5.92,False,new
提供 基因 样本,3,4,4,13.541,8.148,False,new
企业 挽回 大量,3,4,4,13.541,9.596,False,new
股份 有限公司 变更,3,3,3,13.541,5.924,False,new
来 哪些 赋能,3,3,3,13.541,7.754,False,new
7万 平方米 据,3,3,3,13.541,5.068,False,new
增强 收益 凭借,3,3,3,13.541,6.939,False,new
流畅 作为 行政,3,3,3,13.541,5.241,False,new
深入人心 发展 前景,3,4,4,13.54,4.837,False,new
支持 平均 从业,3,3,3,13.54,5.884,False,new
边界 问题 率先,3,4,4,13.539,5.889,False,new
雄安 新区 另,3,6,6,13.538,4.446,False,new
她 现在 售卖,3,4,4,13.538,4.773,False,new
今 此前 担任,3,3,3,13.538,5.202,False,new
却 热闹非凡 这,3,3,3,13.538,7.727,False,new
历史 估值 相对,3,3,3,13.538,8.328,False,new
种植 方式 餐饮,3,4,4,13.537,6.577,False,new
有限公司 签订 协议,3,4,4,13.537,6.213,False,new
包括 转让 山东,3,4,4,13.537,5.81,False,new
有 条理 少,3,3,3,13.537,9.74,False,new
构建 全谱系 生态,3,3,3,13.537,7.664,False,new
总经理 辞职 7月,3,3,3,13.537,6.898,False,new
卫生 健康委 党组,3,4,2,13.536,4.711,False,new
练 得 像,3,3,3,13.536,7.012,False,new
看似 只是 次,3,3,3,13.536,8.339,False,new
出席 历次 上海,3,9,9,13.535,8.747,False,new
金融 航运 贸易,3,7,3,13.535,9.174,False,new
法制 委员会 副,3,6,3,13.535,5.227,False,new
国 互 设,3,4,4,13.535,7.439,False,new
获 批 出任,3,3,3,13.535,7.795,False,new
2024年 年均 增加,3,3,3,13.535,7.654,False,new
设立 雄安 新区,3,3,2,13.534,7.466,False,new
深入 交换 意见,3,3,3,13.534,6.254,False,new
基金 规模 剔除,3,3,3,13.534,6.323,False,new
采取 主动 量化,3,3,3,13.534,6.757,False,new
食物 当地人 会,3,4,4,13.533,8.159,False,new
大会 何以 成为,3,3,3,13.533,9.172,False,new
一级 保护 动物,3,3,3,13.533,6.293,False,new
德国 西南 小,3,3,3,13.533,8.13,False,new
出访 的 第一站,3,8,8,13.532,2.49,False,new
热血 之 约,3,3,3,13.532,5.848,False,new
观察 基金 经理,3,3,3,13.532,7.095,False,new
一带 一路 框架,3,7,7,13.531,2.799,False,new
完成 脱贫 攻坚,3,6,6,13.531,8.073,False,new
做到 心中有数 不,3,3,3,13.531,8.234,False,new
为 功 答卷,3,3,3,13.531,7.057,False,new
下 局 休息,3,3,3,13.531,7.637,False,new
后 中信 信托,3,3,3,13.531,8.453,False,new
资金 信托 计划,3,12,3,13.53,7.992,False,new
省 卫生 健康委,3,10,2,13.53,6.107,False,new
69亿 元 同比,3,7,7,13.53,2.035,False,new
党组 书记 省委,3,6,6,13.53,6.331,False,new
大学 华西 医院,3,3,2,13.53,8.729,False,new
道 红 线,3,3,3,13.53,6.081,False,new
事实上 WTO 所有,3,3,3,13.53,6.136,False,new
在于 红原鸡 具有,3,4,4,13.529,8.3,False,new
像 机器 一样,3,3,3,13.529,6.286,False,new
抓紧 制定 加快,3,3,3,13.529,6.493,False,new
今后 一个 时期,3,15,12,13.528,5.633,False,new
助力 塔吉克斯坦 加快,3,4,4,13.528,7.109,False,new
临夏 图 中,3,4,4,13.528,5.598,False,new
名 占 大专,3,3,3,13.528,4.152,False,new
调查 情况 调查组,3,4,2,13.527,6.374,False,new
开始 初步 审查,3,4,4,13.527,8.133,False,new
科学 严密 措施,3,4,4,13.527,7.306,False,new
副 院长 宁夏,3,4,2,13.526,7.282,False,new
钙 视为 中国,3,3,3,13.526,5.742,False,new
得到 全方位 改善,3,3,3,13.526,8.08,False,new
协会 副 会长,3,3,3,13.526,7.209,False,new
局 将 决出,3,3,3,13.526,4.715,False,new
贸易额 则 平均,3,3,3,13.526,5.393,False,new
曾 亲历 上海,3,4,4,13.525,8.891,False,new
该 企业 制样,3,4,4,13.525,3.338,False,new
企业 科研 院所,3,4,2,13.525,7.312,False,new
党组织 坚决 贯彻,3,3,3,13.525,4.715,False,new
挽回 大量 经济,3,4,4,13.524,6.775,False,new
移民 远渡重洋 来,3,3,3,13.524,8.19,False,new
2日 至 6日,3,9,9,13.523,4.429,False,new
共和国 驻 上海,3,4,2,13.523,6.295,False,new
展览 中心 深港,3,3,3,13.523,4.691,False,new
找到 如此 规模,3,6,6,13.522,8.129,False,new
次 登 顶,3,4,2,13.522,6.246,False,new
已 任 内蒙古自治区,3,4,4,13.522,7.849,False,new
号 西湖 大学,3,4,2,13.522,8.328,False,new
8亿 亩 高,3,3,3,13.522,4.226,False,new
各 被告 支付,3,3,3,13.522,8.317,False,new
刚刚 被 当局,3,3,3,13.522,6.376,False,new
最 具 代表性,3,6,6,13.521,7.383,False,new
反腐 开展 学习,3,3,3,13.521,5.728,False,new
这个 兵 如果,3,3,3,13.521,8.821,False,new
汽车 贷款 利息,3,3,3,13.521,6.662,False,new
公司 控股 股东,3,6,6,13.52,8.066,False,new
基本 民生 保,3,5,3,13.52,7.455,False,new
地球 生命 共同体,3,4,4,13.52,6.743,False,new
当地 苗族 人,3,4,4,13.52,8.772,False,new
不 间断 输入,3,4,4,13.52,8.382,False,new
吴士存 指出 目前,3,4,4,13.52,4.788,False,new
距 今 多,3,4,4,13.519,7.02,False,new
管理 办法 约束,3,3,3,13.519,7.742,False,new
值得 我们 围,3,3,3,13.519,5.138,False,new
价 格 130万,3,3,2,13.519,5.376,False,new
价 格 飙升,3,3,3,13.519,6.41,False,new
世界 胡杨 遗传,3,4,2,13.518,6.143,False,new
乡 没有 留下,3,3,3,13.518,3.711,False,new
外交 政策 基本上,3,3,3,13.518,6.037,False,new
第二十四 名 接受,3,3,3,13.517,4.984,False,new
断 激发 多边,3,4,4,13.516,2.768,False,new
壮阔 的 行进,3,4,4,13.516,2.482,False,new
智能 温室 里,3,4,2,13.516,8.203,False,new
公安 机关 深入,3,4,4,13.516,6.769,False,new
农民 种粮 未,3,3,3,13.516,6.717,False,new
群体 正越 来,3,3,3,13.516,8.087,False,new
跑 赢 风格,3,3,3,13.516,7.335,False,new
时刻 保持 解决,3,20,9,13.514,7.393,False,new
我国 网信 事业,3,6,2,13.514,6.614,False,new
得到 遏制 受,3,3,3,13.514,8.824,False,new
功能 验证 阶段,3,3,3,13.514,6.81,False,new
市场 信息 联席会,3,3,3,13.514,6.219,False,new
原料 且 具有,3,4,4,13.513,7.691,False,new
大学 一次性 公告,3,4,4,13.513,7.315,False,new
项目 因 欲,3,3,3,13.513,6.656,False,new
类似 世纪 德国,3,3,3,13.513,8.011,False,new
基金 前 瞻,3,3,3,13.513,5.201,False,new
6月 Neuralink 宣布,3,3,3,13.513,7.523,False,new
偏见 因为 他们,3,3,3,13.513,6.323,False,new
全党 高度 团结,3,7,7,13.512,6.398,False,new
命运 共同体 确立,3,4,4,13.512,4.652,False,new
学校 解聘 得,3,4,4,13.512,8.564,False,new
传承 中华 优秀,3,4,2,13.512,6.847,False,new
7月 20日 早已,3,3,3,13.512,7.085,False,new
输送 高 成长,3,3,3,13.512,5.769,False,new
否 继续 交出,3,3,3,13.511,3.588,False,new
一直 没什 么,3,3,3,13.511,9.269,False,new
丁立人 快 步,3,3,3,13.511,5.136,False,new
批准 所以 尽管,3,3,3,13.511,8.373,False,new
宣传部 常务 副,3,3,3,13.51,5.278,False,new
至 2021年 撂荒,3,3,3,13.51,6.603,False,new
防范 化解 金融,3,3,3,13.51,7.644,False,new
频道 的 粮食计划,3,4,4,13.509,2.531,False,new
及时 发现 异常,3,4,4,13.509,6.243,False,new
监察 干部 队伍,3,3,3,13.509,4.786,False,new
1969年 2月 至,3,3,3,13.509,6.137,False,new
协助 移民 同时,3,3,3,13.509,5.661,False,new
常委会 第十 次,3,3,3,13.509,6.099,False,new
中 欧 班列,3,17,9,13.508,8.574,False,new
要 牢固 树立,3,5,5,13.507,7.209,False,new
推荐 治疗 方案,3,4,2,13.507,5.914,False,new
福利 市委 书记,3,3,3,13.507,5.696,False,new
出 疫情 下世界,3,6,6,13.506,5.032,False,new
指数 2016年 涨幅,3,6,2,13.506,6.438,False,new
68亿 元 此次,3,3,3,13.506,5.846,False,new
扩大 失业 保险,3,3,2,13.506,7.75,False,new
化肥 和 机械,3,4,4,13.505,4.872,False,new
公鸡 但 长,3,4,4,13.505,4.842,False,new
能 取悦 球迷,3,4,2,13.505,7.431,False,new
失望 了 这次,3,3,3,13.505,4.906,False,new
基本 原理 同,3,8,6,13.504,9.347,False,new
回忆 自己 确实,3,3,3,13.504,6.599,False,new
贸易额 就 接近,3,4,4,13.503,5.372,False,new
党政 主要 领导,3,3,3,13.503,5.698,False,new
仪式 上 余村,3,3,3,13.503,4.477,False,new
意志 统一 行动,3,3,3,13.502,5.751,False,new
米 高度 以后,3,3,3,13.502,5.859,False,new
之间 身体 状况,3,3,3,13.502,7.868,False,new
拥有 个 自由度,3,3,3,13.502,5.912,False,new
道路 自信 理论,3,3,3,13.502,7.107,False,new
试点 加强 东北,3,3,3,13.501,6.836,False,new
位 量化 研究员,3,3,3,13.501,6.712,False,new
贫困 人口 全部,3,5,3,13.5,8.174,False,new
行动 诠释 命运,3,4,4,13.5,5.634,False,new
断 加深 如今,3,4,4,13.5,2.919,False,new
丧失 了 野外,3,4,4,13.5,4.747,False,new
联系 或 本人,3,4,4,13.5,7.128,False,new
与会 代表 围绕,3,3,2,13.5,6.354,False,new
类似 2017年 大规模,3,3,3,13.5,7.662,False,new
前沿 第三 代,3,3,3,13.5,7.196,False,new
示范村 的 见证者,3,3,3,13.5,3.077,False,new
退出 多边 贸易,3,3,3,13.5,8.015,False,new
前列 带领 人民,3,7,7,13.499,7.132,False,new
挂钩 政策 培育,3,3,3,13.499,6.303,False,new
产品 杨冬团队 当前,3,3,3,13.499,8.525,False,new
公募 产品 有着,3,3,3,13.499,6.53,False,new
雄安 新区 启动,3,6,6,13.498,6.526,False,new
9月 7日 习近,3,4,4,13.498,5.038,False,new
数据 充分 彰,3,3,3,13.498,5.181,False,new
全指 基金 再,3,3,3,13.498,5.438,False,new
未经 武汉 用,3,4,4,13.497,7.822,False,new
干事 创业 精神,3,3,3,13.497,5.236,False,new
纲要 正式 提出,3,3,3,13.497,5.468,False,new
玉米 生产 强化,3,3,3,13.497,7.107,False,new
像 游泳馆 能,3,3,3,13.497,9.37,False,new
我 十分 珍惜,3,4,4,13.496,5.988,False,new
循环 相互 促进,3,3,3,13.496,8.32,False,new
养老金 制度 稳步,3,3,3,13.496,4.842,False,new
车企 上汽 大众,3,3,3,13.496,7.366,False,new
生态 严重 退化,3,3,3,13.496,6.651,False,new
游泳 徐恩孝 没有,3,3,3,13.496,8.836,False,new
平台 加速 产业化,3,3,3,13.496,7.593,False,new
仓 分析 发现,3,3,3,13.496,5.563,False,new
居民 人均 可,3,16,8,13.495,8.609,False,new
铅 异常 问题,3,6,2,13.495,5.695,False,new
地方 有些 香蕉,3,4,4,13.495,6.962,False,new
他 一时 感到,3,3,3,13.495,6.947,False,new
米 限 时,3,3,3,13.495,7.267,False,new
师生 操作 他,3,4,4,13.494,7.784,False,new
财经 战略 研究院,3,3,2,13.494,6.298,False,new
公用 设施 建设,3,3,3,13.494,5.817,False,new
稳妥 有序 推进,3,3,2,13.494,6.523,False,new
复旦 大学 新闻,3,29,13,13.493,6.611,False,new
规范 运行 高效,3,4,4,13.493,7.0,False,new
肉鸡 影响 地球,3,4,4,13.493,5.056,False,new
安全 利用率 达到,3,3,3,13.493,9.381,False,new
各方 力量 参与,3,36,2,13.492,8.254,False,new
超写实 数字 人,3,4,2,13.492,6.989,False,new
杂交 品种 出现,3,4,4,13.492,6.157,False,new
政务 处分 其他,3,3,3,13.492,7.074,False,new
倡议 研究所 主任,3,6,6,13.491,6.743,False,new
方向 一致 体现,3,4,4,13.491,6.364,False,new
11月 武汉 用通,3,4,4,13.491,6.237,False,new
2013年 行业 尚,3,3,3,13.491,4.901,False,new
协定 赋予 他们,3,3,3,13.491,7.466,False,new
亦 将 萎缩,3,3,3,13.491,4.271,False,new
重大 决策 部署,3,11,8,13.49,7.386,False,new
刀刃 向 内,3,7,7,13.49,6.096,False,new
政党 怎样 建设,3,4,4,13.49,7.162,False,new
国 元首 会谈,3,4,4,13.49,6.964,False,new
调查 发现 甘肃省,3,4,2,13.49,6.805,False,new
健康 循环 速度,3,3,3,13.49,7.685,False,new
全党 工作 重中之重,3,3,2,13.49,3.839,False,new
粮食 安全 根基,3,6,3,13.489,5.541,False,new
高 水平 开放型,3,6,3,13.489,5.693,False,new
讨论 共同 夯实,3,4,4,13.489,7.15,False,new
某某 主要 从事,3,4,4,13.489,6.579,False,new
区长 2016年 12月,3,4,4,13.489,4.641,False,new
成果 极大 丰富,3,3,3,13.489,6.955,False,new
同期 货币 基金,3,3,3,13.489,6.797,False,new
水平 科技 自立,3,11,9,13.488,4.586,False,new
同比 下降 归母,3,5,4,13.488,2.511,False,new
10月 邹磊 摄,3,4,4,13.488,7.3,False,new
家 自然科学 奖,3,5,3,13.487,6.882,False,new
这 表述 延续,3,3,3,13.487,6.949,False,new
人 接受 委培,3,4,4,13.486,5.666,False,new
渡江节 看成 是,3,3,3,13.486,9.396,False,new
第一 次 受益人,3,3,3,13.485,4.613,False,new
生态 治水 第二,3,3,3,13.485,8.234,False,new
衰亡 第一 次,3,3,3,13.485,5.414,False,new
一致性 持仓 不,3,3,3,13.485,6.93,False,new
丝毫 听 不,3,3,3,13.485,6.373,False,new
新 增净 就业,3,3,3,13.485,9.237,False,new
鼎力相助 以 行动,3,4,4,13.484,3.577,False,new
严重 退化 地区,3,3,3,13.484,8.677,False,new
无效 后 被告,3,3,3,13.484,5.017,False,new
超过 1万亿 元,3,5,5,13.483,7.62,False,new
全党 牢记 总书记,3,3,3,13.483,6.879,False,new
網 北京 5月,3,3,3,13.483,4.054,False,new
超过 1200亿 元,3,3,3,13.483,7.62,False,new
