term,n_tokens,frequency,found
公务员,1,0,False
公务员制度,1,0,False
公务车,1,0,False
公助,1,0,False
公升,1,0,False
公单,1,0,False
公卖,1,0,False
公厘,1,0,False
公司债券,1,0,False
公司制,1,0,False
公司法,1,0,False
公同,1,0,False
公名,1,0,False
公吨,1,0,False
公启,1,0,False
公呈,1,0,False
公告板,1,0,False
公告牌,1,0,False
公善,1,0,False
公器,1,0,False
公因式,1,0,False
公因数,1,0,False
公团,1,0,False
公国,1,0,False
公堂,1,0,False
公墓,1,0,False
公姑,1,0,False
公婆,1,0,False
公子,1,0,False
公子哥儿,1,0,False
公子王孙,1,0,False
公孙,1,0,False
公孙树,1,0,False
公孟,1,0,False
公学,1,0,False
公安局,1,0,False
公审,1,0,False
公害,1,0,False
公害病,1,0,False
公宴,1,0,False
公家,1,0,False
公家人,1,0,False
公家婆姨,1,0,False
公尺,1,0,False
公屋,1,0,False
公展,1,0,False
公差,1,0,False
公差制,1,0,False
公帑,1,0,False
公干,1,0,False
公平交易,1,0,False
公平合理,1,0,False
公平尺,1,0,False
公平秤,1,0,False
公序良俗,1,0,False
公库,1,0,False
公开信,1,0,False
公开审判,1,0,False
公开赛,1,0,False
公式化,1,0,False
公役,1,0,False
公律,1,0,False
公心,1,0,False
公忠,1,0,False
公意,1,0,False
公愤,1,0,False
公房,1,0,False
公所,1,0,False
公报私仇,1,0,False
公担,1,0,False
公拟,1,0,False
公推,1,0,False
公揖,1,0,False
公摊,1,0,False
公教人员,1,0,False
公文,1,0,False
公文包,1,0,False
公文旅行,1,0,False
公断,1,0,False
公方,1,0,False
公映,1,0,False
公是公非,1,0,False
公有制,1,0,False
公服,1,0,False
公权,1,0,False
公权力,1,0,False
公案,1,0,False
公案小说,1,0,False
公款,1,0,False
公正无私,1,0,False
公母,1,0,False
公母俩,1,0,False
公比,1,0,False
公民投票,1,0,False
公民权,1,0,False
公法,1,0,False
公海,1,0,False
公演,1,0,False
公然,1,0,False
公爵,1,0,False
公爷,1,0,False
公爹,1,0,False
公牍,1,0,False
公牛,1,0,False
公物,1,0,False
公猪,1,0,False
公理自在人心,1,0,False
公用事业,1,0,False
公用电话,1,0,False
公田,1,0,False
公电,1,0,False
公畜,1,0,False
公益金,1,0,False
公知,1,0,False
公社,1,0,False
公私两利,1,0,False
公私交困,1,0,False
公私兼顾,1,0,False
公私合营,1,0,False
公种,1,0,False
公积金,1,0,False
公称,1,0,False
公章,1,0,False
公筷,1,0,False
公粮,1,0,False
公约数,1,0,False
公署,1,0,False
公羊,1,0,False
公而忘私,1,0,False
公良,1,0,False
公荒,1,0,False
公营,1,0,False
公葬,1,0,False
公表,1,0,False
公西,1,0,False
公议,1,0,False
公议儿,1,0,False
公论,1,0,False
公设,1,0,False
公证,1,0,False
公证人,1,0,False
公证处,1,0,False
公评,1,0,False
公诉人,1,0,False
公话,1,0,False
公该,1,0,False
公说公有理婆说婆有理,1,0,False
公请,1,0,False
公诸,1,0,False
公诸同好,1,0,False
公谊,1,0,False
公财,1,0,False
公账,1,0,False
公费旅游,1,0,False
公路网,1,0,False
公车,1,0,False
公输,1,0,False
公量,1,0,False
公鉴,1,0,False
公门,1,0,False
公饯,1,0,False
公馆,1,0,False
公马,1,0,False
公鸡,1,0,False
六一,1,0,False
六一儿童节,1,0,False
六一国际儿童节,1,0,False
六义,1,0,False
六书,1,0,False
六亲,1,0,False
六亲不认,1,0,False
六亲无靠,1,0,False
六六六,1,0,False
六冲,1,0,False
六分仪,1,0,False
六十年气运轮流转,1,0,False
六十年风水轮流转,1,0,False
六十甲子,1,0,False
六合,1,0,False
六合拳,1,0,False
六和塔,1,0,False
六场通头,1,0,False
六壬,1,0,False
六够,1,0,False
六婆,1,0,False
六安瓜片,1,0,False
六安茶,1,0,False
六尘,1,0,False
六弦琴,1,0,False
六扇门儿,1,0,False
六指,1,0,False
六指儿,1,0,False
六月,1,0,False
六月债,1,0,False
六朝,1,0,False
六朝金粉,1,0,False
六根,1,0,False
六根清净,1,0,False
六欲,1,0,False
六淫,1,0,False
六甲,1,0,False
六畜,1,0,False
六畜不安,1,0,False
六畜兴旺,1,0,False
六眷,1,0,False
六神,1,0,False
六神不安,1,0,False
六神丸,1,0,False
六神无主,1,0,False
六脉,1,0,False
六腑,1,0,False
六臂三头,1,0,False
六艺,1,0,False
六言诗,1,0,False
六谷,1,0,False
六路,1,0,False
六转儿,1,0,False
六轮子,1,0,False
六边形,1,0,False
六部,1,0,False
兮,1,0,False
兮兮,1,0,False
兰交,1,0,False
兰摧玉折,1,0,False
兰盆,1,0,False
兰章,1,0,False
兰舟,1,0,False
兰花,1,0,False
兰花手,1,0,False
兰花指,1,0,False
兰花菇,1,0,False
兰若,1,0,False
兰草,1,0,False
兰讯,1,0,False
兰谱,1,0,False
共事,1,0,False
共产主义,1,0,False
共产主义青年团,1,0,False
共产党,1,0,False
共产党员,1,0,False
共产国际,1,0,False
共价键,1,0,False
共克时艰,1,0,False
共勉,1,0,False
共同交际语,1,0,False
共同体,1,0,False
共同声明,1,0,False
共同宣言,1,0,False
共同市场,1,0,False
共同性,1,0,False
共同点,1,0,False
共同纲领,1,0,False
共同语,1,0,False
共同语言,1,0,False
共名,1,0,False
共和制,1,0,False
共和国,1,0,False
共商国是,1,0,False
共存亡,1,0,False
共居,1,0,False
共工,1,0,False
共度,1,0,False
共总,1,0,False
共振器,1,0,False
共振腔,1,0,False
共时,1,0,False
共有,1,0,False
共栖,1,0,False
共犯,1,0,False
共生固氮菌,1,0,False
共生矿,1,0,False
共用,1,0,False
共相,1,0,False
共聚,1,0,False
共议,1,0,False
共贯,1,0,False
共赴,1,0,False
共通,1,0,False
共青团员,1,0,False
共鸣器,1,0,False
关东,1,0,False
关东军,1,0,False
关东糖,1,0,False
关中驴,1,0,False
关书,1,0,False
关余,1,0,False
关停并转,1,0,False
关元,1,0,False
关公蟹,1,0,False
关公面前耍大刀,1,0,False
关内,1,0,False
关刀,1,0,False
关厢,1,0,False
关合,1,0,False
关咨,1,0,False
关圣,1,0,False
关坎,1,0,False
关城,1,0,False
关塞,1,0,False
关外,1,0,False
关天,1,0,False
关夫子,1,0,False
关山,1,0,False
关帝,1,0,False
关帝庙,1,0,False
关张,1,0,False
关徽,1,0,False
关念,1,0,False
关怀备至,1,0,False
关护,1,0,False
关押,1,0,False
关拢,1,0,False
关拦,1,0,False
关捩,1,0,False
关服,1,0,False
关板,1,0,False
关楼,1,0,False
关津,1,0,False
关涉,1,0,False
关火,1,0,False
关照,1,0,False
关白,1,0,False
关眼,1,0,False
关碍,1,0,False
关禁,1,0,False
关税壁垒,1,0,False
关系学,1,0,False
关系户,1,0,False
关系网,1,0,False
关紧,1,0,False
关约,1,0,False
关老爷,1,0,False
关联词,1,0,False
关聘,1,0,False
关脉,1,0,False
关节炎,1,0,False
关衔,1,0,False
关西,1,0,False
关要,1,0,False
关说,1,0,False
关连,1,0,False
关里,1,0,False
关金,1,0,False
关金券,1,0,False
关钱,1,0,False
关键词,1,0,False
关门主义,1,0,False
关门大吉,1,0,False
关门弟子,1,0,False
关门打狗,1,0,False
关门落闩,1,0,False
关门闭户,1,0,False
关防,1,0,False
关陕,1,0,False
关隘,1,0,False
关顾,1,0,False
关风,1,0,False
关饷,1,0,False
兴会,1,0,False
兴会淋漓,1,0,False
兴修,1,0,False
兴兴头头,1,0,False
兴兵,1,0,False
兴冲冲,1,0,False
兴利除弊,1,0,False
兴匆匆,1,0,False
兴化戏,1,0,False
兴味,1,0,False
兴复,1,0,False
兴头,1,0,False
兴头儿上,1,0,False
兴奋剂,1,0,False
兴奋药,1,0,False
兴妖作怪,1,0,False
兴学,1,0,False
兴工,1,0,False
兴师,1,0,False
兴师动众,1,0,False
兴师问罪,1,0,False
兴废,1,0,False
兴时,1,0,False
兴替,1,0,False
兴腾,1,0,False
兴致,1,0,False
兴致勃勃,1,0,False
兴致淋漓,1,0,False
兴行,1,0,False
兴许,1,0,False
兴设,1,0,False
兴造,1,0,False
兴隆,1,0,False
兴革,1,0,False
兴风作浪,1,0,False
兴高采烈,1,0,False
兵丁,1,0,False
兵不厌诈,1,0,False
兵不血刃,1,0,False
兵临城下,1,0,False
兵乱,1,0,False
兵争,1,0,False
兵刃,1,0,False
兵制,1,0,False
兵勇,1,0,False
兵匪,1,0,False
兵卒,1,0,False
兵变,1,0,False
兵员,1,0,False
兵士,1,0,False
兵头,1,0,False
兵官,1,0,False
兵家,1,0,False
兵工,1,0,False
兵工厂,1,0,False
兵差,1,0,False
兵式体操,1,0,False
兵式操,1,0,False
兵强马壮,1,0,False
兵役制,1,0,False
兵役法,1,0,False
兵戈,1,0,False
兵戎,1,0,False
兵戎相见,1,0,False
兵战,1,0,False
兵房,1,0,False
兵操,1,0,False
兵暴,1,0,False
兵权,1,0,False
兵来将挡水来土掩,1,0,False
兵来将挡，水来土掩,1,0,False
兵械,1,0,False
兵棋,1,0,False
兵民,1,0,False
兵油子,1,0,False
兵法,1,0,False
兵源,1,0,False
兵火,1,0,False
兵灾,1,0,False
兵燹,1,0,False
兵痞,1,0,False
兵祸,1,0,False
兵种,1,0,False
兵站,1,0,False
兵符,1,0,False
兵舰,1,0,False
兵船,1,0,False
兵荒马乱,1,0,False
兵蚁,1,0,False
兵警,1,0,False
兵谏,1,0,False
兵败如山倒,1,0,False
兵贵神速,1,0,False
兵车,1,0,False
兵运,1,0,False
兵部,1,0,False
兵队,1,0,False
兵随将领草随风,1,0,False
兵革,1,0,False
兵饷,1,0,False
兵马,1,0,False
兵马俑,1,0,False
兵马未动粮草先行,1,0,False
其乐无穷,1,0,False
其人,1,0,False
其势汹汹,1,0,False
其外,1,0,False
其时,1,0,False
其貌不扬,1,0,False
具体劳动,1,0,False
具体化,1,0,False
具体而微,1,0,False
具保,1,0,False
具名,1,0,False
具呈,1,0,False
具在,1,0,False
具报,1,0,False
具文,1,0,False
具结,1,0,False
具象,1,0,False
具象美,1,0,False
具足,1,0,False
具足戒,1,0,False
具领,1,0,False
典,1,0,False
典丽,1,0,False
典仪,1,0,False
典借,1,0,False
典册,1,0,False
典则,1,0,False
典卖,1,0,False
典变,1,0,False
典地,1,0,False
典坟,1,0,False
典型化,1,0,False
典型性,1,0,False
典型环境,1,0,False
典契,1,0,False
典契地,1,0,False
典子,1,0,False
典守,1,0,False
典实,1,0,False
典当,1,0,False
典志,1,0,False
典押,1,0,False
典故,1,0,False
典田,1,0,False
典租,1,0,False
典章,1,0,False
典要,1,0,False
典质,1,0,False
典重,1,0,False
养人,1,0,False
养伤,1,0,False
养儿,1,0,False
养儿防老,1,0,False
养儿防老积谷防饥,1,0,False
养兵,1,0,False
养兵千日用兵一时,1,0,False
养命,1,0,False
养地,1,0,False
养士,1,0,False
养女,1,0,False
养奸,1,0,False
养娘,1,0,False
养媳,1,0,False
养媳妇,1,0,False
养子,1,0,False
养家活口,1,0,False
养家糊口,1,0,False
养尊,1,0,False
养尊处优,1,0,False
养廉,1,0,False
养心,1,0,False
养怡,1,0,False
养性,1,0,False
养息,1,0,False
养成工,1,0,False
养拙,1,0,False
养敌,1,0,False
养料,1,0,False
养晦,1,0,False
养殖业,1,0,False
养殖场,1,0,False
养母,1,0,False
养气,1,0,False
养汉,1,0,False
养活,1,0,False
养父,1,0,False
养父母,1,0,False
养生主,1,0,False
养生送死,1,0,False
养畜,1,0,False
养疴,1,0,False
养病,1,0,False
养痈成患,1,0,False
养痈贻患,1,0,False
养痈遗患,1,0,False
养目镜,1,0,False
养眼,1,0,False
养神,1,0,False
养精,1,0,False
养老保险,1,0,False
养老堂,1,0,False
养老女,1,0,False
养老送终,1,0,False
养老院,1,0,False
养膳,1,0,False
养花天,1,0,False
养苗,1,0,False
养蓄,1,0,False
养虎自毙,1,0,False
养虎贻患,1,0,False
养虎遗患,1,0,False
养血,1,0,False
养赡,1,0,False
养路,1,0,False
养路工,1,0,False
养路费,1,0,False
养身,1,0,False
养阴,1,0,False
养颜,1,0,False
养鱼池,1,0,False
兼之,1,0,False
兼任,1,0,False
兼听,1,0,False
兼听则明,1,0,False
兼听则明偏听则暗,1,0,False
兼听则明，偏信则暗,1,0,False
兼味,1,0,False
兼容并包,1,0,False
兼容并蓄,1,0,False
兼容性,1,0,False
兼岁,1,0,False
兼差,1,0,False
兼收并蓄,1,0,False
兼施,1,0,False
兼有,1,0,False
兼毫,1,0,False
兼爱,1,0,False
兼示,1,0,False
兼祧,1,0,False
兼程,1,0,False
兼管,1,0,False
兼而有之,1,0,False
兼营,1,0,False
兼课,1,0,False
兽,1,0,False
兽力车,1,0,False
兽医,1,0,False
兽害,1,0,False
兽心,1,0,False
兽性,1,0,False
兽欲,1,0,False
兽灾,1,0,False
兽炭,1,0,False
兽物,1,0,False
兽王,1,0,False
兽环,1,0,False
兽疫,1,0,False
兽类,1,0,False
兽药,1,0,False
兽行,1,0,False
冀南币,1,0,False
冀图,1,0,False
冀望,1,0,False
冀求,1,0,False
冀钞,1,0,False
冁,1,0,False
冁然,1,0,False
内中,1,0,False
内举,1,0,False
内乱,1,0,False
内争,1,0,False
内亲,1,0,False
内人,1,0,False
内企,1,0,False
内传,1,0,False
内伤,1,0,False
内侄,1,0,False
内侄女,1,0,False
内债,1,0,False
内倾,1,0,False
内兄,1,0,False
内关,1,0,False
内出血,1,0,False
内分泌,1,0,False
内分泌腺,1,0,False
内切圆,1,0,False
内刊,1,0,False
内力,1,0,False
内务,1,0,False
内动字,1,0,False
内动词,1,0,False
内助,1,0,False
内勤,1,0,False
内包,1,0,False
内卫,1,0,False
内参,1,0,False
内向型,1,0,False
内含,1,0,False
内吸剂,1,0,False
内吸杀虫剂,1,0,False
内咎,1,0,False
内哄,1,0,False
内啡肽,1,0,False
内囊儿,1,0,False
内因,1,0,False
内圆,1,0,False
内圆磨床,1,0,False
内在美,1,0,False
内堂,1,0,False
内外交困,1,0,False
内外夹攻,1,0,False
内奸,1,0,False
内婚制,1,0,False
内子,1,0,False
内孕,1,0,False
内存,1,0,False
内存储器,1,0,False
内存贮器,1,0,False
内宅,1,0,False
内定,1,0,False
内客,1,0,False
内室,1,0,False
内家,1,0,False
内家拳,1,0,False
内容提要,1,0,False
内宾,1,0,False
内寄生,1,0,False
内密,1,0,False
内封,1,0,False
内差,1,0,False
内帑,1,0,False
内幕,1,0,False
内库,1,0,False
内应,1,0,False
内廷,1,0,False
内开,1,0,False
内弟,1,0,False
内当家,1,0,False
内径,1,0,False
内心世界,1,0,False
内忧,1,0,False
内急,1,0,False
内恧,1,0,False
内情,1,0,False
内愧,1,0,False
内房,1,0,False
内掌柜,1,0,False
内控,1,0,False
内援,1,0,False
内敛,1,0,False
内斜视,1,0,False
内景,1,0,False
内服,1,0,False
内果皮,1,0,False
内查,1,0,False
内查外调,1,0,False
内核,1,0,False
内毒素,1,0,False
内水,1,0,False
内江猪,1,0,False
内河,1,0,False
内河港,1,0,False
内流河,1,0,False
内海,1,0,False
内溃,1,0,False
内热,1,0,False
内焰,1,0,False
内燃动力装置,1,0,False
内燃机,1,0,False
内燃机车,1,0,False
内电阻,1,0,False
内画,1,0,False
内画壶,1,0,False
内疚,1,0,False
内痔,1,0,False
内盗,1,0,False
内盘儿,1,0,False
内省,1,0,False
内眷,1,0,False
内秀,1,0,False
内科,1,0,False
内窥镜,1,0,False
内线,1,0,False
内网,1,0,False
内老板,1,0,False
内耗,1,0,False
内耳,1,0,False
内联网,1,0,False
内聚力,1,0,False
内胎,1,0,False
内能,1,0,False
内脏,1,0,False
内脏肌,1,0,False
内脑,1,0,False
内臣,1,0,False
内艰,1,0,False
内范,1,0,False
内荏,1,0,False
内蒙,1,0,False
内蒙古,1,0,False
内蕴,1,0,False
内行,1,0,False
内衙,1,0,False
内衣,1,0,False
内衷,1,0,False
内装修,1,0,False
内裤,1,0,False
内角,1,0,False
内讧,1,0,False
内讼,1,0,False
内证,1,0,False
内详,1,0,False
内质,1,0,False
内贸,1,0,False
内资,1,0,False
内踝,1,0,False
内迁,1,0,False
内退,1,0,False
内邪不生外贼不入,1,0,False
内部命令,1,0,False
内部存储器,1,0,False
内部存贮器,1,0,False
内部矛盾,1,0,False
内部联系,1,0,False
内里,1,0,False
内销,1,0,False
内镜,1,0,False
内阁制,1,0,False
内阳台,1,0,False
内陆国,1,0,False
内陆河,1,0,False
内陆海,1,0,False
内陆湖,1,0,False
内院,1,0,False
内陷,1,0,False
内难,1,0,False
内面,1,0,False
内页,1,0,False
内顾,1,0,False
内骨子,1,0,False
内骨骼,1,0,False
内鬼,1,0,False
内鼻孔,1,0,False
冇,1,0,False
冈,1,0,False
冈坡,1,0,False
冈子,1,0,False
冈峦,1,0,False
冈陵,1,0,False
冉冉,1,0,False
册叶,1,0,False
册子,1,0,False
册封,1,0,False
册立,1,0,False
册页,1,0,False
再三再四,1,0,False
再不,1,0,False
再不然,1,0,False
再世,1,0,False
再会,1,0,False
再作冯妇,1,0,False
再保险,1,0,False
再再,1,0,False
再分,1,0,False
再则,1,0,False
再利用,1,0,False
再四,1,0,False
再娶,1,0,False
再婚,1,0,False
再嫁,1,0,False
再审,1,0,False
再就业,1,0,False
再思,1,0,False
再接再厉,1,0,False
再教育,1,0,False
再有,1,0,False
再植,1,0,False
再版,1,0,False
再犯,1,0,False
再生产,1,0,False
再生式收音机,1,0,False
再生橡胶,1,0,False
再生水,1,0,False
再生父母,1,0,False
再生稻,1,0,False
再生纸,1,0,False
再生能源,1,0,False
再生资源,1,0,False
再者,1,0,False
再衰三竭,1,0,False
再认识,1,0,False
再议,1,0,False
再说,1,0,False
再醮,1,0,False
冏,1,0,False
冒不失,1,0,False
冒傻气,1,0,False
冒儿咕咚,1,0,False
冒功,1,0,False
冒受,1,0,False
冒口,1,0,False
冒号,1,0,False
冒名,1,0,False
冒名顶替,1,0,False
冒场,1,0,False
冒天下之大不韪,1,0,False
冒失,1,0,False
冒失鬼,1,0,False
冒头,1,0,False
冒富,1,0,False
冒寒,1,0,False
冒尖,1,0,False
冒尖户,1,0,False
冒撞,1,0,False
冒昧,1,0,False
冒死,1,0,False
冒汗,1,0,False
冒泡,1,0,False
冒渎,1,0,False
冒火,1,0,False
冒炮,1,0,False
冒烟,1,0,False
冒然,1,0,False
冒牌,1,0,False
冒牌货,1,0,False
冒犯,1,0,False
冒率,1,0,False
冒碰,1,0,False
冒称,1,0,False
冒突,1,0,False
冒籍,1,0,False
冒绷,1,0,False
冒而咕咚,1,0,False
冒花,1,0,False
冒认,1,0,False
冒躁,1,0,False
冒金星,1,0,False
冒金花,1,0,False
冒钱,1,0,False
冒顶,1,0,False
冒顿,1,0,False
冒领,1,0,False
冒风险,1,0,False
冓,1,0,False
冔,1,0,False
冕,1,0,False
冕旒,1,0,False
冗,1,0,False
冗务,1,0,False
冗员,1,0,False
冗弱,1,0,False
冗沓,1,0,False
冗泛,1,0,False
冗漫,1,0,False
冗笔,1,0,False
冗繁,1,0,False
冗赘,1,0,False
冗长,1,0,False
写境,1,0,False
写字台,1,0,False
写字楼,1,0,False
写字间,1,0,False
写定本,1,0,False
写实主义,1,0,False
写实派,1,0,False
写家,1,0,False
写工,1,0,False
写录,1,0,False
写影,1,0,False
写意画,1,0,False
写手,1,0,False
写操作,1,0,False
写景,1,0,False
写本,1,0,False
写法,1,0,False
写生,1,0,False
写生画,1,0,False
写真,1,0,False
写真器,1,0,False
写真版,1,0,False
写真镜,1,0,False
写稿,1,0,False
写经,1,0,False
写述,1,0,False
军中无戏言,1,0,False
军乐,1,0,False
军乐团,1,0,False
军乐队,1,0,False
军事五项,1,0,False
军事体育,1,0,False
军事化,1,0,False
军事基地,1,0,False
军事封锁,1,0,False
军事法庭,1,0,False
军事滑雪,1,0,False
军事演习,1,0,False
军事磨擦,1,0,False
军事科学,1,0,False
军事管制,1,0,False
军事管制委员会,1,0,False
军事训练,1,0,False
军代表,1,0,False
军令,1,0,False
军令如山,1,0,False
军令如山倒,1,0,False
军令状,1,0,False
军令重如山,1,0,False
军伍,1,0,False
军体,1,0,False
军便服,1,0,False
军储,1,0,False
军分区,1,0,False
军列,1,0,False
军制,1,0,False
军功,1,0,False
军功章,1,0,False
军务,1,0,False
军势,1,0,False
军医,1,0,False
军史,1,0,False
军号,1,0,False
军命,1,0,False
军品,1,0,False
军售,1,0,False
军器,1,0,False
军团,1,0,False
军团病,1,0,False
军国主义,1,0,False
军国民主义,1,0,False
军垦,1,0,False
军垦农场,1,0,False
军士,1,0,False
军士长,1,0,False
军大衣,1,0,False
军头,1,0,False
军妓,1,0,False
军姿,1,0,False
军威,1,0,False
军婚,1,0,False
军嫂,1,0,False
军宣队,1,0,False
军家,1,0,False
军容,1,0,False
军属,1,0,False
军屯,1,0,False
军工厂,1,0,False
军差,1,0,False
军帅,1,0,False
军师,1,0,False
军帽,1,0,False
军干,1,0,False
军库,1,0,False
军座,1,0,False
军律,1,0,False
军徽,1,0,False
军心,1,0,False
军情,1,0,False
军持,1,0,False
军控,1,0,False
军政府,1,0,False
军旅,1,0,False
军旗,1,0,False
军曹,1,0,False
军服,1,0,False
军机,1,0,False
军机处,1,0,False
军权,1,0,False
军械,1,0,False
军棋,1,0,False
军棍,1,0,False
军歌,1,0,False
军气,1,0,False
军汉,1,0,False
军法,1,0,False
军法从事,1,0,False
军港,1,0,False
军火,1,0,False
军火商,1,0,False
军火库,1,0,False
军烈属,1,0,False
军爷,1,0,False
军犬,1,0,False
军用票,1,0,False
军略,1,0,False
军目,1,0,False
军眷,1,0,False
军礼,1,0,False
军礼服,1,0,False
军种,1,0,False
军符,1,0,False
军笳,1,0,False
军管,1,0,False
军管会,1,0,False
军籍,1,0,False
军粮,1,0,False
军纪,1,0,False
军统,1,0,False
军绿,1,0,False
军职,1,0,False
军舰鸟,1,0,False
军营,1,0,False
军衔,1,0,False
军衣,1,0,False
军规,1,0,False
军警,1,0,False
军训,1,0,False
军购,1,0,False
军贸,1,0,False
军费,1,0,False
军车,1,0,False
军转民,1,0,False
军运,1,0,False
军邮,1,0,False
军部,1,0,False
军门,1,0,False
军阀,1,0,False
军阶,1,0,False
军需,1,0,False
军风,1,0,False
军风纪,1,0,False
军饷,1,0,False
军马,1,0,False
军鸽,1,0,False
军龄,1,0,False
农业化,1,0,False
农业合作化,1,0,False
农业品,1,0,False
农业国,1,0,False
农业工人,1,0,False
农业建筑,1,0,False
农业机械,1,0,False
农业社,1,0,False
农业税,1,0,False
农业集体化,1,0,False
农中,1,0,False
农书,1,0,False
农事,1,0,False
农人,1,0,False
农会,1,0,False
农作,1,0,False
农作物,1,0,False
农具,1,0,False
农军,1,0,False
农副业,1,0,False
农副产品,1,0,False
农务,1,0,False
农友,1,0,False
农器,1,0,False
农圃,1,0,False
农夫,1,0,False
农奴,1,0,False
农奴主,1,0,False
农奴制,1,0,False
农妇,1,0,False
农家乐,1,0,False
农家肥,1,0,False
农家肥料,1,0,False
农工商,1,0,False
农币,1,0,False
农庄,1,0,False
农忙,1,0,False
农情,1,0,False
农时,1,0,False
农期,1,0,False
农本,1,0,False
农机具,1,0,False
农机站,1,0,False
农桑,1,0,False
农械,1,0,False
农歌,1,0,False
农民协会,1,0,False
农民工,1,0,False
农民战争,1,0,False
农民起义,1,0,False
农活,1,0,False
农活儿,1,0,False
农牧业,1,0,False
农田水利,1,0,False
农田防护林,1,0,False
农畜,1,0,False
农禾,1,0,False
农科,1,0,False
农籍,1,0,False
农膜,1,0,False
农舍,1,0,False
农船,1,0,False
农艺师,1,0,False
农药残毒,1,0,False
农蚕,1,0,False
农行,1,0,False
农谚,1,0,False
农谣,1,0,False
农贷,1,0,False
农贸市场,1,0,False
农转非,1,0,False
农轻重,1,0,False
农运,1,0,False
农运会,1,0,False
农隙,1,0,False
冞,1,0,False
冠以,1,0,False
冠冕,1,0,False
冠冕堂皇,1,0,False
冠军赛,1,0,False
冠县,1,0,False
冠名权,1,0,False
冠子,1,0,False
冠心病,1,0,False
冠服,1,0,False
冠状动脉,1,0,False
冠盖,1,0,False
冠盖相望,1,0,False
冠礼,1,0,False
冠绝,1,0,False
冠缨,1,0,False
冠螺,1,0,False
冠词,1,0,False
冠首,1,0,False
冢,1,0,False
冢地,1,0,False
冢墓,1,0,False
冢子,1,0,False
冢孙,1,0,False
冤,1,0,False
冤仇,1,0,False
冤仇宜解不宜结,1,0,False
冤假错案,1,0,False
冤兜,1,0,False
冤单,1,0,False
冤囚,1,0,False
冤大头,1,0,False
冤头,1,0,False
冤孽,1,0,False
冤孽债,1,0,False
冤家,1,0,False
冤家宜解不宜结,1,0,False
冤家对头,1,0,False
冤家路窄,1,0,False
冤对,1,0,False
冤屈,1,0,False
冤情,1,0,False
冤愆,1,0,False
冤抑,1,0,False
冤有头债有主,1,0,False
冤枉,1,0,False
冤枉路,1,0,False
冤枉钱,1,0,False
冤死,1,0,False
冤气,1,0,False
冤沉,1,0,False
冤牵,1,0,False
冤狱,1,0,False
冤疙瘩,1,0,False
冤篼,1,0,False
冤结,1,0,False
冤苦,1,0,False
冤诬,1,0,False
冤鬼,1,0,False
冤魂,1,0,False
冥,1,0,False
冥中,1,0,False
冥供,1,0,False
冥冥,1,0,False
冥合,1,0,False
冥器,1,0,False
冥国,1,0,False
冥坐,1,0,False
冥宅,1,0,False
冥寿,1,0,False
冥屋,1,0,False
冥币,1,0,False
冥幻,1,0,False
冥府,1,0,False
冥思,1,0,False
冥思苦想,1,0,False
冥思苦索,1,0,False
冥想,1,0,False
冥暗,1,0,False
冥求,1,0,False
冥王星,1,0,False
冥界,1,0,False
冥空,1,0,False
冥纸,1,0,False
冥茫,1,0,False
冥蒙,1,0,False
冥衣,1,0,False
冥诞,1,0,False
冥钞,1,0,False
冥钱,1,0,False
冥锭,1,0,False
冥顽,1,0,False
冥顽不灵,1,0,False
冬不拉,1,0,False
冬令,1,0,False
冬令营,1,0,False
冬候鸟,1,0,False
冬假,1,0,False
冬储,1,0,False
冬冬,1,0,False
冬凌草,1,0,False
冬奥会,1,0,False
冬季奥林匹克运动会,1,0,False
冬季奥运会,1,0,False
冬季运动,1,0,False
冬学,1,0,False
冬宫,1,0,False
冬寒,1,0,False
冬小麦,1,0,False
冬日,1,0,False
冬景天,1,0,False
冬月,1,0,False
冬汛,1,0,False
冬泳,1,0,False
冬灌,1,0,False
冬烘,1,0,False
冬烘先生,1,0,False
冬瓜,1,0,False
冬瘟,1,0,False
冬眠,1,0,False
冬种,1,0,False
冬窝子,1,0,False
冬笋,1,0,False
冬练,1,0,False
冬练三九夏练三伏,1,0,False
冬羽,1,0,False
冬耕,1,0,False
冬至点,1,0,False
冬至线,1,0,False
冬节,1,0,False
冬花,1,0,False
冬菇,1,0,False
冬菜,1,0,False
冬葵,1,0,False
冬藏,1,0,False
冬虫夏草,1,0,False
冬蛰,1,0,False
冬衣,1,0,False
冬装,1,0,False
冬训,1,0,False
冬贮,1,0,False
冬运,1,0,False
冬运会,1,0,False
冬锻,1,0,False
冬防,1,0,False
冬青,1,0,False
冬麦,1,0,False
冮,1,0,False
冯借,1,0,False
冯妇,1,0,False
冰上曲棍球,1,0,False
冰上舞蹈,1,0,False
冰上运动,1,0,False
冰人,1,0,False
冰冻三尺非一日之寒,1,0,False
冰冻三尺，非一日之寒,1,0,False
冰凉,1,0,False
冰凌,1,0,False
冰凌花,1,0,False
冰凝,1,0,False
冰刀,1,0,False
冰品,1,0,False
冰囊,1,0,False
冰场,1,0,False
冰坝,1,0,False
冰坨,1,0,False
冰塞,1,0,False
冰壶,1,0,False
冰大坂,1,0,False
冰天雪地,1,0,False
冰室,1,0,False
冰层,1,0,False
冰山一角,1,0,False
冰峰,1,0,False
冰崩,1,0,False
冰川期,1,0,False
冰帆,1,0,False
冰床,1,0,False
冰店,1,0,False
冰弦,1,0,False
冰心,1,0,False
冰情,1,0,False
